SamplesNEvents		IntegralMean		IntegralRMS		MaxValueOfPDF		MaxValueOfPDF_ histogram		

1,000			0.764313		0.041584		 02				09
10,000			0.765708		0.0125704		 02				14
100,000			0.765924		0.00379218		 02				15
1,000,000		0.765288		0.000997074		 02				16

1,000			0.956936		0.0704002		 04				09
10,000			0.945212		0.0210253		 04				10
100,000			0.946485		0.00610469		 04				16
1,000,000		0.947358		0.00197468		 04				16

1,000			0.988028		0.0703501		 06				10
10,000			0.983915		0.0243497		 06				12
100,000			0.985482		0.00738846		 06				15
1,000,000		0.986758		0.0022813		 06				16

1,000			0.998889		0.101113		 08				09
10,000			0.995237		0.0321806		 08				16
100,000			0.995451		0.00926942		 08				15
1,000,000		0.994151		0.00329768		 08				16	


1,000			1.00411	        	0.0997153		 10				08								
10,000			0.992726		0.0364176		 10				14				
100,000			0.994033		0.0109226		 10				14				
1,000,000		0.995453		0.0036719		 10				16				

1,000			1.00128			0.124042		 12				11				
10,000			0.998314		0.0391988		 12				11
100,000			0.997397		0.0121482		 12				16
1,000,000		0.995859		0.00380442		 12				16

1,000			0.995987		0.121832		 14				08
10,000			0.994348		0.0443519		 14				14
100,000			0.995326		0.0128629		 14				16
1,000,000		0.995331		0.00389636		 14				16

1,000			0.991542		0.141176		 16				09
10,000			0.997377		0.0440104		 16				14
100,000			0.996404		0.0145714		 16				16
1,000,000		0.994842		0.00427558		 16				16
									
1,000			0.994976		0.160123		 18				11
10,000			0.995479		0.0463357		 18				10
100,000			0.996121		0.015716		 18				16
1,000,000		0.996154		0.00439444		 18				16

1,000			0.996653		0.156553		 20				09
10,000			0.997957		0.0547763		 20				13
100,000			0.997411		0.0163658		 20				16
1,000,000		0.995312		0.00475983		 20				16


